Avreisested,Land,dep_eng,dep_lat,dep_lon,Mål,dest_eng,dest_lat,dest_lon,Reisemåte,Dato,isodate,Annet,Selskap,Fra/Til,Avreise,Ankomst
Paris,Frankrike,"Paris, France",48.859116,2.331839,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,7. august,2020-08-07,AF1274,Air France,Paris - Oslo,20:55,23:15
Arlanda,Sverige,"Arlanda, Sweden",59.638635,17.937246,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,8. august,2020-08-08,SK883,SAS,Arlanda - Oslo,11:30,12:30
Wien,Østerrike,"Vienna, Austria",48.198674,16.348388,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,8. august,2020-08-08,W62873,Wizz Air,Wien - Oslo,12:00,14:25
Oslo,Norge,"Oslo, Norway",59.914112,10.80102,Trondheim,"Trondheim, Norway",63.412235,10.411357,Fly,8. august,2020-08-08,SK350,SAS,Oslo - Trondheim,14:00,14:55
Pristina,Kosovo,"Pristina, Kosovo",42.704347,21.230935,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,8. august,2020-08-08,DY1909,SAS,Pristina - Oslo,15.45,19:10
Milano,Italia,"Milan, Italy",45.473702,9.170685,Sandefjord,"Sandefjord, Norway",59.138893,10.224857,Fly,8. august,2020-08-08,FR4557,Ryan Air,Milano - Sandefjord-Torp,17:10,19:37
Amsterdam,Nederland,"Amsterdam, Netherlands",52.37243,4.89973,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,8. august,2020-08-08,KL1151,KLM,Amsterdam - Oslo,20:50,22:35
Oslo lufthavn,Norge,"Oslo lufthavn, Norway",60.19312,11.096776,Lillehammer,"Lillehammer, Norway",61.122137,10.464437,Tog,8. august,2020-08-08,R10,Vy,Oslo Lufthavn - Lillehammer,21:59,23:38
Barcelona,Spania,"Barcelona, Spain",41.400347,2.159592,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,9. august,2020-08-09,DY1739,Norwegian,Barcelona - Oslo,10:35,14:00
Amsterdam,Nederland,"Amsterdam, Netherlands",52.37243,4.89973,Kristiansand,"Kristiansand, Norway",58.137256,7.95224,Fly,9. august,2020-08-09,KL1209,KLM,Amsterdam - Kristiansand,16:15,17:38
Oslo,Norge,"Oslo, Norway",59.914112,10.80102,Trondheim,"Trondheim, Norway",63.412235,10.411357,Fly,11. august,2020-08-11,DY744,Norwegian,Oslo - Trondheim,11:10,12:05
Frankfurt,Tyskland,"Frankfurt, Germany",50.041821,8.584764,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,11. august,2020-08-11,LH862,Lufthansa,Frankfurt - Oslo,13:05,15:00
Nice,Frankrike,"Nice, France",43.713667,7.264625,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,11. august,2020-08-11,SK4700,SAS,Nice - Oslo,20:40,23:35
Frankfurt,Tyskland,"Frankfurt, Germany",50.041821,8.584764,Oslo,"Oslo, Norway",59.914112,10.80102,Fly,13. august,2020-08-13,LH864,Lufthansa,Frankfurt - Oslo,21:30,23:25
